Date	Venue	Field	Start	End	League	Home Team	Away Team	Referee	Lineman	Field Judge	Side Judge
2024-05-05	Worb	Field 2	11:40	12:40	HARWY CSW	CSW Bienna Jets Young Guns	CSW Chaux de Fonds Hornets	CN Zurich Renegades B	CN Zurich Renegades B	CN Zurich Renegades B	CN Zurich Renegades B
2024-05-05	Worb	Field 2	12:50	13:50	HARWY CN	CN Zurich Renegades B	CN Blackbucks Uni Bern White	CSW Thun Tigers	CSW Thun Tigers	CSW Thun Tigers	CSW Thun Tigers
2024-05-05	Worb	Field 2	14:00	15:00	HARWY CN	CN Basel Barbarians	CN Fraumatt Legions	CN Blackbucks Uni Bern White	CSW Bienna Jets Young Guns	CSW Bienna Jets Young Guns	CSW Bienna Jets Young Guns
2024-05-05	Worb	Field 2	15:10	16:10	HARWY CSW	CSW Blackbucks Uni Bern Black	CSW Bienna Jets Young Guns	CN Zurich Renegades B	CSW Chaux de Fonds Hornets	CSW Chaux de Fonds Hornets	CSW Chaux de Fonds Hornets
2024-05-05	Worb	Field 2	16:20	17:20	HARWY CSW	CSW Chaux de Fonds Hornets	CSW Thun Tigers	CN Argovia Pirates	CN Argovia Pirates	CN Argovia Pirates	CN Argovia Pirates
2024-05-05	Worb	Field 2	17:30	18:30	U16	U16 Zurich Renegades A	U16 Langenthal Invaders	CSW Thun Tigers	CSW Thun Tigers	CSW Thun Tigers	CSW Thun Tigers
2024-05-05	Worb	Field 3	9:00	10:00	U16	U16 Argovia Pirates	U16 Winterthur Warriors	CN Basel Barbarians	CSW Blackbucks Uni Bern Black	CSW Blackbucks Uni Bern Black	CSW Blackbucks Uni Bern Black
2024-05-05	Worb	Field 3	10:10	11:10	U16	U16 Basel Spartans	U16 Zofingen Cheetahs	CN Basel Barbarians	CN Basel Barbarians	CN Basel Barbarians	CN Basel Barbarians
2024-05-05	Worb	Field 3	11:20	12:20	U16	U16 Zurich Renegades A	U16 Lugano Rebels	CN Argovia Pirates	CN Argovia Pirates	CN Argovia Pirates	CN Argovia Pirates
2024-05-05	Worb	Field 3	12:30	13:30	U16	U16 Lake Zurich Red Scorpions	U16 Geneva Seahawks	Andreas Capeder	CSW Aemme Buzzards II	CSW Aemme Buzzards II	CSW Aemme Buzzards II
2024-05-05	Worb	Field 3	13:40	14:40	U16	U16 Lugano Rebels	U16 Zurich Renegades B	Andreas Capeder	CSW Chaux de Fonds Hornets	CSW Chaux de Fonds Hornets	CSW Chaux de Fonds Hornets
2024-05-05	Worb	Field 3	14:50	15:50	U16	U16 Gladiators Basel	U16 Langenthal Invaders	CN Blackbucks Uni Bern White	CN Blackbucks Uni Bern White	CN Blackbucks Uni Bern White	CN Blackbucks Uni Bern White
2024-05-05	Worb	Field 3	16:00	17:00	U16	U16 Winterthur Warriors	U16 Geneva Seahawks	Andreas Capeder	CN Basel Barbarians	CN Basel Barbarians	CN Basel Barbarians
2024-05-05	Worb	Field 3	17:10	18:10	U16	U16 Basel Spartans	U16 St. Gallen Bears	Andreas Capeder	CSW Bienna Jets Young Guns	CSW Bienna Jets Young Guns	CSW Bienna Jets Young Guns
2024-05-25	Rafz	Field 1	9:20	10:20	U11	U11 Fraumatt Legions	U11 Zurich Renegades	B Soly Rhinos	B Soly Rhinos	B Soly Rhinos	B Soly Rhinos
2024-05-25	Rafz	Field 1	10:30	11:30	U16	U16 Winterthur Warriors	U16 Langenthal Invaders	CE Thurgauer Generals	CE Thurgauer Generals	CE Thurgauer Generals	U11 Zurich Renegades
2024-05-25	Rafz	Field 1	11:40	12:40	U16	U16 Argovia Pirates	U16 Lake Zurich Red Scorpions	U16 Winterthur Warriors	U16 Winterthur Warriors	U16 Winterthur Warriors	U16 Winterthur Warriors
2024-05-25	Rafz	Field 1	12:50	13:50	U16	U16 Geneva Seahawks	U16 Langenthal Invaders	U16 Zurich Renegades A	U16 Zurich Renegades A	U16 Zurich Renegades A	U16 Zurich Renegades A
2024-05-25	Rafz	Field 1	14:00	15:00	U16	U16 Zofingen Cheetahs	U16 Zurich Renegades B	B Bienna Jets OG's	U13 Calanda Broncos	U13 Bienna Jets	U13 Lake Zurich Red Scorpions
2024-05-25	Rafz	Field 1	15:10	16:10	U16	U16 Langenthal Invaders	U16 St. Gallen Bears	U13 Zurich Renegades	U13 Thun Tigers	U13 Langenthal Invaders	U11 Calanda Broncos
2024-05-25	Rafz	Field 1	16:20	17:20	U16	U16 Geneva Seahawks	U16 Zurich Renegades B	CE Winterthur Warriors Cardinal	U13 Winterthur Warriors	U13 Rafz Bulldogs	U16 Lugano Rebels
2024-05-25	Rafz	Field 1	17:30	18:30	U16	U16 Lake Zurich Red Scorpions	U16 Zofingen Cheetahs	B Winterthur Warriors Black	B Winterthur Warriors Black	B Winterthur Warriors Black	B Winterthur Warriors Black
2024-05-25	Rafz	Field 2	9:20	10:20	U16	U16 Gladiators Basel	U16 Zurich Renegades A	CE Rafz Bulldogs B	CE Rafz Bulldogs B	U13 Fraumatt Legions Red	U13 Fraumatt Legions Black
2024-05-25	Rafz	Field 2	10:30	11:30	U16	U16 St. Gallen Bears	U16 Lugano Rebels	CE St. Gallen Bears	U16 Zurich Renegades B	U16 Zurich Renegades B	U16 Zurich Renegades B
2024-05-25	Rafz	Field 2	11:40	12:40	U11	U11 Fraumatt Legions	U11 Calanda Broncos	U16 Gladiators Basel	U16 Gladiators Basel	U16 Gladiators Basel	U16 Gladiators Basel
2024-05-25	Rafz	Field 2	12:50	13:50	U13	U13 Bienna Jets	U13 Winterthur Warriors	U16 Argovia Pirates	U16 Argovia Pirates	U16 Argovia Pirates	U16 Argovia Pirates
2024-05-25	Rafz	Field 2	14:00	15:00	U11	U11 Calanda Broncos	U11 St. Gallen Bears	U16 Geneva Seahawks	U16 Geneva Seahawks	U16 Geneva Seahawks	U16 Geneva Seahawks
2024-05-25	Rafz	Field 2	15:10	16:10	U13	U13 Thun Tigers	U13 Chaux de Fonds Hornets	B Zorros Zürich	B Zorros Zürich	B Zorros Zürich	B Zorros Zürich
2024-05-25	Rafz	Field 2	16:20	17:20	U13	U13 Langenthal Invaders	U13 Rafz Bulldogs	U16 Lake Zurich Red Scorpions	U16 Lake Zurich Red Scorpions	U16 Lake Zurich Red Scorpions	U16 Lake Zurich Red Scorpions
2024-05-25	Rafz	Field 2	17:30	18:30	U13	U13 Zurich Renegades	U13 Fraumatt Legions Black	B Bienna Jets OG's	B Bienna Jets OG's	B Bienna Jets OG's	B Bienna Jets OG's
2024-05-25	Rafz	Field 3	9:20	10:20	U13	U13 Langenthal Invaders	U13 Winterthur Warriors	U16 Zofingen Cheetahs	U16 Zofingen Cheetahs	U16 Zofingen Cheetahs	U16 Zofingen Cheetahs
2024-05-25	Rafz	Field 3	10:30	11:30	U13	U13 Bienna Jets	U13 Langenthal Invaders	U16 Basel Spartans	U16 Basel Spartans	U16 Basel Spartans	U16 Basel Spartans
2024-05-25	Rafz	Field 3	11:40	12:40	U13	U13 Thun Tigers	U13 Fraumatt Legions Black	B Rafz Bulldogs A	U16 St. Gallen Bears	U16 St. Gallen Bears	U16 St. Gallen Bears
2024-05-25	Rafz	Field 3	12:50	13:50	U13	U13 Calanda Broncos	U13 Lake Zurich Red Scorpions	B Rafz Bulldogs A	B Rafz Bulldogs A	B Rafz Bulldogs A	U11 St. Gallen Bears
2024-05-25	Rafz	Field 3	14:00	15:00	U13	U13 Rafz Bulldogs	U13 Zurich Renegades	U16 Langenthal Invaders	U16 Langenthal Invaders	U16 Langenthal Invaders	U16 Langenthal Invaders
2024-05-25	Rafz	Field 3	15:10	16:10	U13	U13 Calanda Broncos	U13 Fraumatt Legions Red	B Soly Rhinos	B Soly Rhinos	B Soly Rhinos	B Soly Rhinos
2024-05-25	Rafz	Field 3	16:20	17:20	U11	U11 Fraumatt Legions	U11 St. Gallen Bears	B Zorros Zürich	U16 Lugano Rebels	U16 Lugano Rebels	U16 Lugano Rebels
2024-05-25	Rafz	Field 3	17:30	18:30	U13	U13 Fraumatt Legions Red	U13 Fraumatt Legions Black	B Basel Spartans Yellow	B Basel Spartans Yellow	B Basel Spartans Yellow	B Basel Spartans Yellow
2024-05-25	Rafz	Field 4	9:20	10:20	HARWY B	B Midland Bouncers	B Zorros Zürich	B Rafz Bulldogs A	B Rafz Bulldogs A	B Rafz Bulldogs A	B Rafz Bulldogs A
2024-05-25	Rafz	Field 4	10:30	11:30	U13	U13 Lake Zurich Red Scorpions	U13 Fraumatt Legions Red	B Winterthur Warriors Black	B Winterthur Warriors Black	B Winterthur Warriors Black	B Winterthur Warriors Black
2024-05-25	Rafz	Field 4	12:50	13:50	HARWY B	B Basel Spartans Yellow	B Soly Rhinos	B Bienna Jets OG's	B Bienna Jets OG's	B Bienna Jets OG's	B Bienna Jets OG's
2024-05-25	Rafz	Field 4	14:00	15:00	HARWY B	B Winterthur Warriors Black	B Zorros Zürich	B Basel Spartans Yellow	B Basel Spartans Yellow	B Basel Spartans Yellow	B Basel Spartans Yellow
2024-05-25	Rafz	Field 4	16:20	17:20	HARWY B	B Rafz Bulldogs A	B Winterthur Warriors Black	CE Schottikon Raptors	CE Schottikon Raptors	CE Schottikon Raptors	CE Schottikon Raptors
2024-05-25	Rafz	Field 5	9:20	10:20	U16	U16 Argovia Pirates	U16 Basel Spartans	CE Rafz Bulldogs B	CE Rafz Bulldogs B	CE Rafz Bulldogs B	CE Rafz Bulldogs B
2024-05-25	Rafz	Field 5	10:30	11:30	HARWY B	B Soly Rhinos	B Rafz Bulldogs A	B Zorros Zürich	B Zorros Zürich	B Zorros Zürich	B Zorros Zürich
2024-05-25	Rafz	Field 5	11:40	12:40	HARWY B	B Midland Bouncers	B Bienna Jets OG's	B Winterthur Warriors Black	B Winterthur Warriors Black	B Winterthur Warriors Black	B Winterthur Warriors Black
2024-05-25	Rafz	Field 5	12:50	13:50	U16	U16 Gladiators Basel	U16 Lugano Rebels	B Midland Bouncers	B Midland Bouncers	B Midland Bouncers	B Midland Bouncers
2024-05-25	Rafz	Field 5	14:00	15:00	U16	U16 Basel Spartans	U16 Winterthur Warriors	B Midland Bouncers	B Midland Bouncers	B Midland Bouncers	B Midland Bouncers
2024-05-25	Rafz	Field 5	15:10	16:10	U16	U16 Lugano Rebels	U16 Langenthal Invaders	CE Winterthur Warriors Cardinal	CE Winterthur Warriors Cardinal	CE Winterthur Warriors Cardinal	CE Winterthur Warriors Cardinal
2024-05-25	Rafz	Field 5	16:20	17:20	HARWY B	B Bienna Jets OG's	B Basel Spartans Yellow	CE Schottikon Raptors	CE Lake Zürich Red Scorpions	CE Lake Zürich Red Scorpions	CE Lake Zürich Red Scorpions
2024-05-25	Rafz	Field 6	9:20	10:20	HARWY CE	CE Winterthur Warriors Cardinal	CE Lake Zürich Red Scorpions	CE Schottikon Raptors	CE Schottikon Raptors	CE Schottikon Raptors	CE Schottikon Raptors
2024-05-25	Rafz	Field 6	10:30	11:30	HARWY CE	CE Zurich Renegades C	CE Schottikon Raptors	CE Winterthur Warriors Cardinal	CE Winterthur Warriors Cardinal	CE Winterthur Warriors Cardinal	CE Winterthur Warriors Cardinal
2024-05-25	Rafz	Field 6	11:40	12:40	HARWY CE	CE St. Gallen Bears	CE Thurgauer Generals	CE Rafz Bulldogs B	CE Lake Zürich Red Scorpions	CE Lake Zürich Red Scorpions	CE Lake Zürich Red Scorpions
2024-05-25	Rafz	Field 6	12:50	13:50	HARWY CE	CE Winterthur Warriors Cardinal	CE Rafz Bulldogs B	CE St. Gallen Bears	CE St. Gallen Bears	CE St. Gallen Bears	CE St. Gallen Bears
2024-05-25	Rafz	Field 6	14:00	15:00	HARWY CE	CE Lake Zürich Red Scorpions	CE Schottikon Raptors	CE Thurgauer Generals	CE Thurgauer Generals	CE Thurgauer Generals	CE Thurgauer Generals
